"","ParticipantCode","Age","Gender","Round","Offer","Response","Is_anonymous","Other","PrevOffer","PrevResponse","centered_PrevOffer","log_offer","Semantic_distance"
"1","98eku7hk",20,"2","P1.1",33,"Accept","0",4,NA,NA,NA,3.49650756146648,0.865432229252395
"2","wfeh0pi6",50,"1","P1.1",40,"Accept","0",4,NA,NA,NA,3.68887945411394,0.863944570668585
"3","027156c3",21,"1","P1.1",60,"Accept","0",4,NA,NA,NA,4.0943445622221,0.904499261988291
"4","xfea0bma",22,"1","P1.1",50,"Accept","0",4,NA,NA,NA,3.91202300542815,0.915165014448475
"5","ornzkfx7",22,"1","P1.1",40,"Accept","0",4,NA,NA,NA,3.68887945411394,0.858849971800347
"6","1vup6pbh",25,"2","P1.1",50,"Decline","0",4,NA,NA,NA,3.91202300542815,0.775376252866983
"7","579jcdm7",49,"1","P1.1",50,"Accept","0",4,NA,NA,NA,3.91202300542815,0.887151512655478
"8","jpubcjip",50,"1","P1.1",60,"Accept","0",4,NA,NA,NA,4.0943445622221,0.881141270813234
"9","9v4hhlqw",21,"2","P1.1",35,"Accept","0",4,NA,NA,NA,3.55534806148941,0.922931904013141
"10","6fia97r7",20,"2","P1.1",40,"Accept","0",4,NA,NA,NA,3.68887945411394,0.897737798704517
"11","3fvt8cun",21,"2","P1.1",30,"Accept","0",4,NA,NA,NA,3.40119738166216,0.880427159964626
"12","vpzy9ekv",20,"2","P1.1",40,"Decline","0",4,NA,NA,NA,3.68887945411394,0.882345279647738
"13","51puq0c0",26,"2","P1.1",40,"Accept","0",4,NA,NA,NA,3.68887945411394,0.875776426119467
"14","19ta5o5n",23,"2","P1.1",40,"Accept","0",4,NA,NA,NA,3.68887945411394,0.899837114115128
"15","t4di9mzf",21,"2","P1.1",35,"Accept","0",4,NA,NA,NA,3.55534806148941,0.919984692608917
"16","ytmp7lod",21,"2","P1.1",50,"Accept","0",4,NA,NA,NA,3.91202300542815,0.902266839142711
"17","te4gtw5r",52,"2","P1.1",30,"Decline","0",4,NA,NA,NA,3.40119738166216,0.914320919651765
"18","l1318zut",23,"1","P1.1",45,"Accept","0",4,NA,NA,NA,3.80666248977032,0.913013162864756
"19","g5qcynby",22,"1","P1.1",50,"Decline","0",4,NA,NA,NA,3.91202300542815,0.882414489378736
"20","wi5jeew6",25,"2","P1.1",50,"Accept","0",4,NA,NA,NA,3.91202300542815,0.899542476344372
"21","o3hvm7pe",27,"2","P1.1",50,"Accept","0",4,NA,NA,NA,3.91202300542815,0.899967105950831
"22","20ib0rz7",23,"2","P1.1",50,"Accept","0",4,NA,NA,NA,3.91202300542815,0.901213252472161
"23","j6s1nkqt",18,"2","P1.1",25,"Decline","0",4,NA,NA,NA,3.2188758248682,0.713834363591539
"24","kknjqt0t",23,"1","P1.1",10,"Decline","0",4,NA,NA,NA,2.30258509299405,0.929441834104454
"25","o36reyew",22,"1","P1.1",50,"Accept","0",4,NA,NA,NA,3.91202300542815,0.894639463218729
"26","rcce43lu",24,"1","P1.1",30,"Accept","0",4,NA,NA,NA,3.40119738166216,0.87623816378474
"27","98eku7hk",20,"2","P1.2",34,"Decline","0",4,33,"Accept",-17,3.52636052461616,0.865432229252395
"28","wfeh0pi6",50,"1","P1.2",40,"Accept","0",4,40,"Accept",-10,3.68887945411394,0.863944570668585
"29","027156c3",21,"1","P1.2",60,"Decline","0",4,60,"Accept",10,4.0943445622221,0.904499261988291
"30","xfea0bma",22,"1","P1.2",50,"Accept","0",4,50,"Accept",0,3.91202300542815,0.915165014448475
"31","ornzkfx7",22,"1","P1.2",40,"Accept","0",4,40,"Accept",-10,3.68887945411394,0.858849971800347
"32","1vup6pbh",25,"2","P1.2",10,"Decline","0",4,50,"Decline",0,2.30258509299405,0.775376252866983
"33","579jcdm7",49,"1","P1.2",100,"Accept","0",4,50,"Accept",0,4.60517018598809,0.887151512655478
"34","jpubcjip",50,"1","P1.2",60,"Accept","0",4,60,"Accept",10,4.0943445622221,0.881141270813234
"35","9v4hhlqw",21,"2","P1.2",34,"Accept","0",4,35,"Accept",-15,3.52636052461616,0.922931904013141
"36","6fia97r7",20,"2","P1.2",40,"Accept","0",4,40,"Accept",-10,3.68887945411394,0.897737798704517
"37","3fvt8cun",21,"2","P1.2",35,"Accept","0",4,30,"Accept",-20,3.55534806148941,0.880427159964626
"38","vpzy9ekv",20,"2","P1.2",50,"Accept","0",4,40,"Decline",-10,3.91202300542815,0.882345279647738
"39","51puq0c0",26,"2","P1.2",41,"Accept","0",4,40,"Accept",-10,3.71357206670431,0.875776426119467
"40","19ta5o5n",23,"2","P1.2",50,"Accept","0",4,40,"Accept",-10,3.91202300542815,0.899837114115128
"41","t4di9mzf",21,"2","P1.2",35,"Accept","0",4,35,"Accept",-15,3.55534806148941,0.919984692608917
"42","ytmp7lod",21,"2","P1.2",50,"Accept","0",4,50,"Accept",0,3.91202300542815,0.902266839142711
"43","te4gtw5r",52,"2","P1.2",40,"Accept","0",4,30,"Decline",-20,3.68887945411394,0.914320919651765
"44","l1318zut",23,"1","P1.2",45,"Decline","0",4,45,"Accept",-5,3.80666248977032,0.913013162864756
"45","g5qcynby",22,"1","P1.2",55,"Accept","0",4,50,"Decline",0,4.00733318523247,0.882414489378736
"46","wi5jeew6",25,"2","P1.2",50,"Accept","0",4,50,"Accept",0,3.91202300542815,0.899542476344372
"47","o3hvm7pe",27,"2","P1.2",50,"Accept","0",4,50,"Accept",0,3.91202300542815,0.899967105950831
"48","20ib0rz7",23,"2","P1.2",60,"Accept","0",4,50,"Accept",0,4.0943445622221,0.901213252472161
"49","j6s1nkqt",18,"2","P1.2",28,"Decline","0",4,25,"Decline",-25,3.3322045101752,0.713834363591539
"50","kknjqt0t",23,"1","P1.2",20,"Decline","0",4,10,"Decline",-40,2.99573227355399,0.929441834104454
"51","o36reyew",22,"1","P1.2",50,"Accept","0",4,50,"Accept",0,3.91202300542815,0.894639463218729
"52","rcce43lu",24,"1","P1.2",30,"Decline","0",4,30,"Accept",-20,3.40119738166216,0.87623816378474
"53","98eku7hk",20,"2","P1.3",32,"Accept","0",4,34,"Decline",-16,3.46573590279973,0.865432229252395
"54","wfeh0pi6",50,"1","P1.3",40,"Accept","0",4,40,"Accept",-10,3.68887945411394,0.863944570668585
"55","027156c3",21,"1","P1.3",55,"Accept","0",4,60,"Decline",10,4.00733318523247,0.904499261988291
"56","xfea0bma",22,"1","P1.3",50,"Decline","0",4,50,"Accept",0,3.91202300542815,0.915165014448475
"57","ornzkfx7",22,"1","P1.3",40,"Accept","0",4,40,"Accept",-10,3.68887945411394,0.858849971800347
"58","1vup6pbh",25,"2","P1.3",20,"Decline","0",4,10,"Decline",-40,2.99573227355399,0.775376252866983
"59","579jcdm7",49,"1","P1.3",75,"Accept","0",4,100,"Accept",50,4.31748811353631,0.887151512655478
"60","jpubcjip",50,"1","P1.3",50,"Decline","0",4,60,"Accept",10,3.91202300542815,0.881141270813234
"61","9v4hhlqw",21,"2","P1.3",38,"Accept","0",4,34,"Accept",-16,3.63758615972639,0.922931904013141
"62","6fia97r7",20,"2","P1.3",40,"Accept","0",4,40,"Accept",-10,3.68887945411394,0.897737798704517
"63","3fvt8cun",21,"2","P1.3",0,"Decline","0",4,35,"Accept",-15,-Inf,0.880427159964626
"64","vpzy9ekv",20,"2","P1.3",45,"Decline","0",4,50,"Accept",0,3.80666248977032,0.882345279647738
